 
****************************************
Report : cell
Design : proc
Version: B-2008.09-SP3
Date   : Thu Mar 17 10:45:26 2016
****************************************

Attributes:
    b - black box (unknown)
    h - hierarchical
    n - noncombinational
    r - removable
    u - contains unmapped logic

Cell                      Reference       Library             Area  Attributes
--------------------------------------------------------------------------------
PC[0]                     dff_128                         14.079000 h, n
PC[1]                     dff_129                         14.079000 h, n
PC[2]                     dff_130                         14.079000 h, n
PC[3]                     dff_131                         14.079000 h, n
U362                      INVX1           gscl45nm        1.407900  
U363                      INVX1           gscl45nm        1.407900  
U364                      AND2X2          gscl45nm        2.815800  
U365                      INVX4           gscl45nm        3.285100  
U366                      INVX1           gscl45nm        1.407900  
U367                      MUX2X1          gscl45nm        3.754400  
U368                      INVX1           gscl45nm        1.407900  
U369                      OAI21X1         gscl45nm        2.815800  
U370                      INVX1           gscl45nm        1.407900  
U371                      OAI21X1         gscl45nm        2.815800  
U372                      INVX1           gscl45nm        1.407900  
U373                      OAI21X1         gscl45nm        2.815800  
U374                      INVX1           gscl45nm        1.407900  
U375                      OAI21X1         gscl45nm        2.815800  
U376                      INVX1           gscl45nm        1.407900  
U377                      OAI21X1         gscl45nm        2.815800  
U378                      INVX1           gscl45nm        1.407900  
U379                      OAI21X1         gscl45nm        2.815800  
U380                      INVX1           gscl45nm        1.407900  
U381                      OAI21X1         gscl45nm        2.815800  
U382                      INVX1           gscl45nm        1.407900  
U383                      OAI21X1         gscl45nm        2.815800  
U384                      INVX1           gscl45nm        1.407900  
U385                      OAI21X1         gscl45nm        2.815800  
U386                      INVX1           gscl45nm        1.407900  
U387                      OAI21X1         gscl45nm        2.815800  
U388                      INVX1           gscl45nm        1.407900  
U389                      OAI21X1         gscl45nm        2.815800  
U390                      INVX1           gscl45nm        1.407900  
U391                      BUFX2           gscl45nm        2.346500  
U392                      INVX1           gscl45nm        1.407900  
U393                      INVX4           gscl45nm        3.285100  
U394                      INVX1           gscl45nm        1.407900  
U395                      INVX1           gscl45nm        1.407900  
U396                      INVX1           gscl45nm        1.407900  
U397                      BUFX2           gscl45nm        2.346500  
U398                      INVX2           gscl45nm        1.877200  
U399                      INVX1           gscl45nm        1.407900  
U400                      INVX1           gscl45nm        1.407900  
U401                      INVX1           gscl45nm        1.407900  
U402                      INVX1           gscl45nm        1.407900  
